|Unnamed: 0|Unnamed: 0.1|level_0|Unnamed: 0.1.1|index|Id|SepalLengthCm|SepalWidthCm|PetalLengthCm|PetalWidthCm|Species
0|0|0|20|20|65|66|6.7|3.1|4.4|1.4|Iris-versicolor
1|1|1|103|103|56|57|6.3|3.3|4.7|1.6|Iris-versicolor
2|2|2|544|544|23|24|5.1|3.3|1.7|0.5|Iris-setosa
3|3|3|277|277|26|27|5.0|3.4|1.6|0.4|Iris-setosa
4|4|4|261|261|142|143|5.8|2.7|5.1|1.9|Iris-virginica
5|5|5|626|626|146|147|6.3|2.5|5.0|1.9|Iris-virginica
6|6|6|436|436|34|35|4.9|3.1|1.5|0.1|Iris-setosa
7|7|7|232|Allez au boulot ! :)|Allez au boulot ! :)|60|5.2|2.7|3.9|1.4|Iris-versicolor
8|8|8|165|165|115|116|6.4|3.2|5.3|2.3|Iris-virginica
9|9|9|361|361|-44444|48|4.6|3.2|1.4|0.2|Iris-setosa
10|10|10|435|435|41|42|4.5|2.3|1.3|0.3|Iris-setosa
11|11|11|29|29|Allez au boulot ! :)|129|6.4|2.8|5.6|2.1|Iris-virginica
12|12|12|294|294|127|128|6.1|3.0|4.9|1.8|Iris-virginica
13|13|13|140|140|54|55|6.5|2.8|4.6|1.5|Iris-versicolor
14|14|14|622|622|29|30|4.7|3.2|1.6|0.2|Iris-setosa
15|15|15|685|685|95|96|5.7|3.0|4.2|1.2|Iris-versicolor
16|16|16|421|421|15|16|5.7|4.4|1.5|0.4|Iris-setosa
17|17|17|217|217|105|Allez au boulot ! :)|7.6|3.0|6.6|2.1|Iris-virginica
18|18|18|317|317|130|131|7.4|2.8|6.1|1.9|Iris-virginica
19|19|19|504|504|106|107|4.9|2.5|4.5|1.7|Iris-virginica
20|20|20|490|490|47|48|4.6|3.2|1.4|0.2|Iris-setosa
21|21|21|269|269|21|22|5.1|3.7|1.5|0.4|Iris-setosa
22|22|22|500|500|11|12|4.8|3.4|1.6|0.2|Iris-setosa
23|23|23|306|306|65|66|6.7|3.1|4.4|1.4|Iris-versicolor
24|24|24|228|228|72|73|6.3|2.5|4.9|1.5|Iris-versicolor
25|25|25|475|475|33|34|5.5|4.2|1.4|0.2|Iris-setosa
26|26|26|746|746|19|20|5.1|3.8|1.5|0.3|Iris-setosa
27|27|27|382|382|88|89|5.6|3.0|4.1|1.3|Iris-versicolor
28|28|28|37|37|90|91|5.5|2.6|4.4|1.2|Iris-versicolor
29|29|29|79|79|94|95|5.6|2.7|4.2|1.3|Iris-versicolor
30|30|30|685|685|Allez au boulot ! :)|96|5.7|3.0|4.2|1.2|Iris-versicolor
31|31|31|646|646|118|119|7.7|2.6|6.9|2.3|Iris-virginica
32|32|32|617|617|130|131|7.4|2.8|6.1|1.9|Iris-virginica
33|33|33|120|120|42|43|4.4|3.2|1.3|0.2|Iris-setosa
34|34|34|305|305|-44444|147|6.3|2.5|5.0|1.9|Iris-virginica
35|35|35|716|716|76|77|6.8|2.8|4.8|1.4|Iris-versicolor
36|36|36|695|695|147|nan|6.5|3.0|5.2|2.0|Iris-virginica
37|37|37|472|472|44|45|5.1|3.8|1.9|0.4|Iris-setosa
38|38|38|152|152|Allez au boulot ! :)|28|5.2|3.5|1.5|0.2|Iris-setosa
39|39|39|581|581|16|17|5.4|3.9|1.3|0.4|Iris-setosa
40|40|40|74|74|92|93|5.8|2.6|4.0|1.2|Iris-versicolor
41|41|41|595|595|93|94|5.0|2.3|3.3|1.0|Iris-versicolor
42|42|42|562|562|39|40|5.1|3.4|1.5|0.2|Iris-setosa
43|43|43|147|147|50|51|7.0|3.2|4.7|1.4|Iris-versicolor
44|44|44|510|510|107|108|7.3|2.9|6.3|1.8|Iris-virginica
45|45|45|545|545|29|30|4.7|3.2|1.6|0.2|Iris-setosa
46|46|46|247|247|87|88|6.3|2.3|4.4|1.3|Iris-versicolor
47|47|47|143|143|86|87|6.7|3.1|4.7|1.5|Iris-versicolor
48|48|48|42|42|117|118|7.7|3.8|6.7|2.2|Iris-virginica
49|49|49|578|578|29|30|4.7|3.2|1.6|0.2|Iris-setosa
50|50|50|429|429|142|143|5.8|2.7|5.1|1.9|Iris-virginica
51|51|51|614|614|142|143|5.8|2.7|5.1|1.9|Iris-virginica
52|52|52|173|173|111|112|6.4|2.7|5.3|1.9|Iris-virginica
53|53|53|527|527|51|52|6.4|3.2|4.5|1.5|Iris-versicolor
54|54|54|420|420|98|99|5.1|2.5|3.0|1.1|Iris-versicolor
55|55|55|398|398|123|124|6.3|2.7|4.9|1.8|Iris-virginica
56|56|56|172|Allez au boulot ! :)|75|76|6.6|3.0|4.4|1.4|Iris-versicolor
57|57|57|693|693|17|18|5.1|3.5|1.4|0.3|Iris-setosa
58|58|58|124|124|102|103|7.1|3.0|5.9|2.1|Iris-virginica
59|59|59|142|142|14|15|5.8|4.0|1.2|0.2|Iris-setosa
60|60|60|694|694|104|105|6.5|3.0|5.8|2.2|Iris-virginica
61|61|61|76|76|55|56|5.7|2.8|4.5|1.3|Iris-versicolor
62|62|62|27|27|79|80|5.7|2.6|3.5|1.0|Iris-versicolor
63|63|63|449|449|43|44|5.0|3.5|1.6|0.6|Iris-setosa
64|64|64|701|701|132|133|6.4|2.8|5.6|2.2|Iris-virginica
65|65|65|157|157|137|138|6.4|3.1|5.5|1.8|Iris-virginica
66|66|66|604|604|26|27|5.0|3.4|1.6|0.4|Iris-setosa
